,$v_0$ [m/s],$m_0$ [kg],$\rho$ [kg/m$^3$],$\sigma$ [kg/J],$h_e$ [m],$\log_{10}$($\eta$ [kg/J]),$s$,$\log_{10}$($m_{l}$ [kg]),$\log_{10}$($m_{u}$ [kg]),$h_{e2}$ [m],$\rho_{2}$ [kg/m$^3$],$\sigma_{2}$ [kg/J],$\log_{10}$($\eta_{2}$ [kg/J]),$\sigma_{lag}$ [m],$\sigma_{lum}$ [W]
$v_0$ [m/s],1.0000,-0.2262,-0.3570,0.3097,0.1727,-0.5626,0.3200,0.4080,0.3920,-0.2913,-0.5283,-0.1978,0.0775,-0.7739,0.0217
$m_0$ [kg],-0.2262,1.0000,0.3356,-0.1543,-0.6360,0.1118,0.1238,-0.1917,0.0200,0.0097,0.3006,-0.3704,-0.1085,0.4929,0.0649
$\rho$ [kg/m$^3$],-0.3570,0.3356,1.0000,-0.3273,0.0106,0.4689,-0.1074,-0.6505,-0.3773,-0.2008,0.7116,0.0719,0.3203,0.2152,-0.0422
$\sigma$ [kg/J],0.3097,-0.1543,-0.3273,1.0000,-0.3233,-0.5042,-0.4407,0.5644,0.5237,-0.5295,-0.6252,-0.3233,-0.0514,-0.2158,0.2192
$h_e$ [m],0.1727,-0.6360,0.0106,-0.3233,1.0000,-0.0730,0.1169,-0.0746,-0.2963,0.1095,0.1556,0.4590,0.1024,-0.5176,-0.1425
$\log_{10}$($\eta$ [kg/J]),-0.5626,0.1118,0.4689,-0.5042,-0.0730,1.0000,-0.0845,-0.4749,-0.3197,0.5574,0.5946,0.3339,-0.0054,0.3988,-0.1140
$s$,0.3200,0.1238,-0.1074,-0.4407,0.1169,-0.0845,1.0000,0.1357,-0.1601,0.0394,-0.0280,-0.2327,0.3538,-0.1506,-0.0146
$\log_{10}$($m_{l}$ [kg]),0.4080,-0.1917,-0.6505,0.5644,-0.0746,-0.4749,0.1357,1.0000,0.3034,-0.2614,-0.5345,-0.2002,-0.1227,-0.1876,0.1632
$\log_{10}$($m_{u}$ [kg]),0.3920,0.0200,-0.3773,0.5237,-0.2963,-0.3197,-0.1601,0.3034,1.0000,-0.1269,-0.5610,-0.4408,-0.0492,-0.1362,-0.1365
$h_{e2}$ [m],-0.2913,0.0097,-0.2008,-0.5295,0.1095,0.5574,0.0394,-0.2614,-0.1269,1.0000,0.1121,0.4916,-0.4495,0.2073,0.0234
$\rho_{2}$ [kg/m$^3$],-0.5283,0.3006,0.7116,-0.6252,0.1556,0.5946,-0.0280,-0.5345,-0.5610,0.1121,1.0000,0.2120,0.0717,0.3631,-0.2448
$\sigma_{2}$ [kg/J],-0.1978,-0.3704,0.0719,-0.3233,0.4590,0.3339,-0.2327,-0.2002,-0.4408,0.4916,0.2120,1.0000,-0.3141,-0.0763,0.2541
$\log_{10}$($\eta_{2}$ [kg/J]),0.0775,-0.1085,0.3203,-0.0514,0.1024,-0.0054,0.3538,-0.1227,-0.0492,-0.4495,0.0717,-0.3141,1.0000,-0.1926,-0.1254
$\sigma_{lag}$ [m],-0.7739,0.4929,0.2152,-0.2158,-0.5176,0.3988,-0.1506,-0.1876,-0.1362,0.2073,0.3631,-0.0763,-0.1926,1.0000,-0.0762
$\sigma_{lum}$ [W],0.0217,0.0649,-0.0422,0.2192,-0.1425,-0.1140,-0.0146,0.1632,-0.1365,0.0234,-0.2448,0.2541,-0.1254,-0.0762,1.0000
