,$v_0$ [m/s],$m_0$ [kg],$\rho$ [kg/m$^3$],$\sigma$ [kg/J],$h_e$ [m],$\log_{10}$($\eta$ [kg/J]),$s$,$\log_{10}$($m_{l}$ [kg]),$\log_{10}$($m_{u}$ [kg]),$h_{e2}$ [m],$\rho_{2}$ [kg/m$^3$],$\sigma_{2}$ [kg/J],$\log_{10}$($\eta_{2}$ [kg/J]),$P_{compress}$ [Pa],$s$,$\log_{10}$($m_{min}/m_{disr}$),$\log_{10}$($m_{max}/m_{disr}$),$m_{gr}/m_{disr}$,$\sigma_{lag}$ [m],$\sigma_{lum}$ [W]
$v_0$ [m/s],1.0000,0.2736,-0.2457,0.0107,0.1522,-0.2131,0.2645,-0.2270,0.1290,-0.6630,-0.1114,-0.1669,0.2712,-0.0722,0.1247,0.6091,0.4023,-0.0382,-0.0801,0.0084
$m_0$ [kg],0.2736,1.0000,0.0047,0.7825,0.5200,-0.3147,0.4173,-0.6132,0.7107,-0.4686,-0.4871,-0.1608,0.5654,0.5069,0.2933,0.3023,0.7063,0.6581,0.1247,0.0851
$\rho$ [kg/m$^3$],-0.2457,0.0047,1.0000,0.1383,0.3882,0.7605,-0.0650,-0.2750,0.0456,-0.0617,-0.1166,0.3783,-0.1776,0.1926,0.3348,-0.1888,0.1968,0.2313,0.1597,0.0192
$\sigma$ [kg/J],0.0107,0.7825,0.1383,1.0000,0.4516,-0.1997,0.4052,-0.4399,0.8042,-0.3567,-0.5375,-0.2767,0.6242,0.4972,0.4792,0.2277,0.7132,0.7540,0.2551,0.0758
$h_e$ [m],0.1522,0.5200,0.3882,0.4516,1.0000,0.0471,-0.1986,-0.5310,0.2770,-0.1077,-0.1788,0.1501,0.0008,0.4043,0.0327,0.2022,0.3457,0.3429,0.0977,0.0372
$\log_{10}$($\eta$ [kg/J]),-0.2131,-0.3147,0.7605,-0.1997,0.0471,1.0000,-0.1431,0.0398,-0.1888,0.0024,0.2301,0.3893,-0.3811,-0.2896,0.0660,-0.0685,-0.0353,-0.2552,-0.0408,0.0062
$s$,0.2645,0.4173,-0.0650,0.4052,-0.1986,-0.1431,1.0000,0.1053,0.6274,-0.5122,-0.5277,-0.4506,0.7141,0.1541,0.6246,0.2414,0.6961,0.3386,0.0612,0.0276
$\log_{10}$($m_{l}$ [kg]),-0.2270,-0.6132,-0.2750,-0.4399,-0.5310,0.0398,0.1053,1.0000,-0.3390,0.4072,0.0532,-0.2428,-0.1088,-0.3642,-0.0079,-0.1474,-0.3423,-0.4487,-0.0963,-0.0841
$\log_{10}$($m_{u}$ [kg]),0.1290,0.7107,0.0456,0.8042,0.2770,-0.1888,0.6274,-0.3390,1.0000,-0.2797,-0.6443,-0.3148,0.7405,0.3160,0.4436,0.0602,0.7300,0.7168,0.3172,0.0692
$h_{e2}$ [m],-0.6630,-0.4686,-0.0617,-0.3567,-0.1077,0.0024,-0.5122,0.4072,-0.2797,1.0000,0.1586,0.1615,-0.3856,-0.1322,-0.3524,-0.6012,-0.6169,-0.1485,0.1150,-0.0465
$\rho_{2}$ [kg/m$^3$],-0.1114,-0.4871,-0.1166,-0.5375,-0.1788,0.2301,-0.5277,0.0532,-0.6443,0.1586,1.0000,0.3428,-0.7963,-0.5528,-0.6951,-0.0602,-0.6702,-0.7671,-0.3064,-0.0137
$\sigma_{2}$ [kg/J],-0.1669,-0.1608,0.3783,-0.2767,0.1501,0.3893,-0.4506,-0.2428,-0.3148,0.1615,0.3428,1.0000,-0.6981,0.0619,-0.2528,-0.4357,-0.3298,0.0164,-0.2292,0.0170
$\log_{10}$($\eta_{2}$ [kg/J]),0.2712,0.5654,-0.1776,0.6242,0.0008,-0.3811,0.7141,-0.1088,0.7405,-0.3856,-0.7963,-0.6981,1.0000,0.3811,0.5893,0.3733,0.7802,0.6048,0.3116,0.0276
$P_{compress}$ [Pa],-0.0722,0.5069,0.1926,0.4972,0.4043,-0.2896,0.1541,-0.3642,0.3160,-0.1322,-0.5528,0.0619,0.3811,1.0000,0.4763,0.0978,0.4583,0.7453,0.2218,0.0149
$s$,0.1247,0.2933,0.3348,0.4792,0.0327,0.0660,0.6246,-0.0079,0.4436,-0.3524,-0.6951,-0.2528,0.5893,0.4763,1.0000,0.2625,0.6947,0.5526,0.1798,0.0097
$\log_{10}$($m_{min}/m_{disr}$),0.6091,0.3023,-0.1888,0.2277,0.2022,-0.0685,0.2414,-0.1474,0.0602,-0.6012,-0.0602,-0.4357,0.3733,0.0978,0.2625,1.0000,0.5521,-0.1111,-0.0775,0.0119
$\log_{10}$($m_{max}/m_{disr}$),0.4023,0.7063,0.1968,0.7132,0.3457,-0.0353,0.6961,-0.3423,0.7300,-0.6169,-0.6702,-0.3298,0.7802,0.4583,0.6947,0.5521,1.0000,0.6146,0.2005,0.0541
$m_{gr}/m_{disr}$,-0.0382,0.6581,0.2313,0.7540,0.3429,-0.2552,0.3386,-0.4487,0.7168,-0.1485,-0.7671,0.0164,0.6048,0.7453,0.5526,-0.1111,0.6146,1.0000,0.3465,0.0542
$\sigma_{lag}$ [m],-0.0801,0.1247,0.1597,0.2551,0.0977,-0.0408,0.0612,-0.0963,0.3172,0.1150,-0.3064,-0.2292,0.3116,0.2218,0.1798,-0.0775,0.2005,0.3465,1.0000,-0.0018
$\sigma_{lum}$ [W],0.0084,0.0851,0.0192,0.0758,0.0372,0.0062,0.0276,-0.0841,0.0692,-0.0465,-0.0137,0.0170,0.0276,0.0149,0.0097,0.0119,0.0541,0.0542,-0.0018,1.0000
