,$v_0$ [m/s],$m_0$ [kg],$\rho$ [kg/m$^3$],$\sigma$ [kg/J],$h_e$ [m],$\log_{10}$($\eta$ [kg/J]),$s$,$\log_{10}$($m_{l}$ [kg]),$\log_{10}$($m_{u}$ [kg]),$\log_{10}$($P_{compress}$ [Pa]),$s$,$\log_{10}$($m_{min}/m_{disr}$),$\log_{10}$($m_{max}/m_{disr}$),$m_{gr}/m_{disr}$,$\sigma_{lag}$ [m],$\sigma_{lum}$ [W]
$v_0$ [m/s],1.0000,0.0131,0.0441,-0.0293,-0.0012,-0.0576,-0.0115,-0.0665,-0.0644,-0.0501,0.0406,-0.0014,-0.0285,-0.0413,-0.0308,0.0088
$m_0$ [kg],0.0131,1.0000,-0.1872,-0.3031,0.0459,-0.0876,0.0005,0.0555,0.0528,-0.1794,-0.0804,-0.2359,-0.4298,-0.1729,0.0032,-0.0287
$\rho$ [kg/m$^3$],0.0441,-0.1872,1.0000,-0.0141,-0.0625,0.0370,0.0134,0.0411,0.0388,-0.1302,0.1127,-0.0455,-0.1519,0.0154,0.0700,0.0353
$\sigma$ [kg/J],-0.0293,-0.3031,-0.0141,1.0000,0.1731,0.0505,0.0374,0.0358,0.0442,-0.0724,0.0645,-0.0541,-0.1722,-0.1941,-0.0053,0.0337
$h_e$ [m],-0.0012,0.0459,-0.0625,0.1731,1.0000,0.0134,0.0698,0.0512,0.0548,-0.1019,-0.0197,-0.1260,-0.0743,-0.0574,0.0075,0.0354
$\log_{10}$($\eta$ [kg/J]),-0.0576,-0.0876,0.0370,0.0505,0.0134,1.0000,-0.0118,-0.0103,-0.0163,-0.0659,0.0421,-0.0004,0.1119,-0.0140,-0.0495,-0.0068
$s$,-0.0115,0.0005,0.0134,0.0374,0.0698,-0.0118,1.0000,0.0260,0.0250,0.0070,-0.0065,-0.0079,-0.0426,0.0719,0.0093,-0.0400
$\log_{10}$($m_{l}$ [kg]),-0.0665,0.0555,0.0411,0.0358,0.0512,-0.0103,0.0260,1.0000,0.9956,0.0820,0.0088,-0.0529,0.0445,0.1003,0.0563,0.0170
$\log_{10}$($m_{u}$ [kg]),-0.0644,0.0528,0.0388,0.0442,0.0548,-0.0163,0.0250,0.9956,1.0000,0.0854,0.0109,-0.0496,0.0430,0.1023,0.0567,0.0183
$\log_{10}$($P_{compress}$ [Pa]),-0.0501,-0.1794,-0.1302,-0.0724,-0.1019,-0.0659,0.0070,0.0820,0.0854,1.0000,0.0127,-0.0370,-0.1664,-0.0327,-0.0444,-0.0105
$s$,0.0406,-0.0804,0.1127,0.0645,-0.0197,0.0421,-0.0065,0.0088,0.0109,0.0127,1.0000,0.0133,0.1388,-0.0445,-0.0066,-0.0019
$\log_{10}$($m_{min}/m_{disr}$),-0.0014,-0.2359,-0.0455,-0.0541,-0.1260,-0.0004,-0.0079,-0.0529,-0.0496,-0.0370,0.0133,1.0000,0.4099,-0.0531,0.0264,-0.0144
$\log_{10}$($m_{max}/m_{disr}$),-0.0285,-0.4298,-0.1519,-0.1722,-0.0743,0.1119,-0.0426,0.0445,0.0430,-0.1664,0.1388,0.4099,1.0000,0.0901,-0.0152,-0.0388
$m_{gr}/m_{disr}$,-0.0413,-0.1729,0.0154,-0.1941,-0.0574,-0.0140,0.0719,0.1003,0.1023,-0.0327,-0.0445,-0.0531,0.0901,1.0000,0.0384,-0.0467
$\sigma_{lag}$ [m],-0.0308,0.0032,0.0700,-0.0053,0.0075,-0.0495,0.0093,0.0563,0.0567,-0.0444,-0.0066,0.0264,-0.0152,0.0384,1.0000,-0.0111
$\sigma_{lum}$ [W],0.0088,-0.0287,0.0353,0.0337,0.0354,-0.0068,-0.0400,0.0170,0.0183,-0.0105,-0.0019,-0.0144,-0.0388,-0.0467,-0.0111,1.0000
