,$v_0$ [m/s],$m_0$ [kg],$\rho$ [kg/m$^3$],$\sigma$ [kg/J],$h_e$ [m],$\log_{10}$($\eta$ [kg/J]),$s$,$\log_{10}$($m_{l}$ [kg]),$\log_{10}$($m_{u}$ [kg]),$h_{e2}$ [m],$\rho_{2}$ [kg/m$^3$],$\sigma_{2}$ [kg/J],$\log_{10}$($\eta_{2}$ [kg/J]),$P_{compress}$ [Pa],$s$,$\log_{10}$($m_{min}/m_{disr}$),$\log_{10}$($m_{max}/m_{disr}$),$m_{gr}/m_{disr}$,$\sigma_{lag}$ [m],$\sigma_{lum}$ [W]
$v_0$ [m/s],1.0000,0.1225,-0.2075,-0.0073,-0.0425,-0.2041,0.0965,-0.0866,-0.0017,-0.2273,-0.2783,0.2140,-0.0521,0.1525,0.3084,0.2058,0.0346,-0.0667,0.0682,-0.0346
$m_0$ [kg],0.1225,1.0000,-0.4096,0.6245,0.1831,-0.4609,0.3256,0.3776,0.6230,-0.4026,-0.2614,0.2690,0.1344,-0.1014,0.1901,0.1518,0.0344,0.1854,-0.0216,-0.0524
$\rho$ [kg/m$^3$],-0.2075,-0.4096,1.0000,-0.0246,0.1508,0.9530,-0.1966,0.1246,-0.0167,0.1044,0.1974,-0.1608,0.0161,-0.2054,-0.0156,-0.0303,0.1164,-0.0632,0.0543,-0.0157
$\sigma$ [kg/J],-0.0073,0.6245,-0.0246,1.0000,-0.0818,-0.2276,0.5510,0.3351,0.8495,-0.6367,-0.3144,0.5056,-0.1803,-0.1544,0.3322,0.0321,-0.0428,0.0675,0.1358,-0.0002
$h_e$ [m],-0.0425,0.1831,0.1508,-0.0818,1.0000,0.0152,-0.0689,0.5431,0.0492,-0.1323,0.1286,-0.2122,0.6845,0.0829,-0.0026,0.0837,0.0272,-0.1045,-0.2317,-0.0396
$\log_{10}$($\eta$ [kg/J]),-0.2041,-0.4609,0.9530,-0.2276,0.0152,1.0000,-0.3342,-0.0115,-0.1929,0.2846,0.2346,-0.2549,-0.0356,-0.2147,-0.0944,-0.0211,0.1400,-0.0106,0.0443,-0.0206
$s$,0.0965,0.3256,-0.1966,0.5510,-0.0689,-0.3342,1.0000,0.2476,0.4617,-0.5929,-0.1682,0.7850,-0.4325,-0.0288,0.4690,-0.3346,-0.1810,-0.1315,0.1376,0.0122
$\log_{10}$($m_{l}$ [kg]),-0.0866,0.3776,0.1246,0.3351,0.5431,-0.0115,0.2476,1.0000,0.3700,-0.2568,-0.1052,0.1608,0.3105,0.0007,0.2204,0.1745,0.0510,-0.1691,-0.2443,-0.0549
$\log_{10}$($m_{u}$ [kg]),-0.0017,0.6230,-0.0167,0.8495,0.0492,-0.1929,0.4617,0.3700,1.0000,-0.6215,-0.3019,0.3746,0.0707,-0.0427,0.2369,0.1638,0.0416,-0.0575,0.1160,-0.0267
$h_{e2}$ [m],-0.2273,-0.4026,0.1044,-0.6367,-0.1323,0.2846,-0.5929,-0.2568,-0.6215,1.0000,0.5924,-0.6344,0.1729,0.1838,-0.7293,-0.2629,0.0133,0.0649,0.0411,-0.0051
$\rho_{2}$ [kg/m$^3$],-0.2783,-0.2614,0.1974,-0.3144,0.1286,0.2346,-0.1682,-0.1052,-0.3019,0.5924,1.0000,-0.5294,0.3454,0.1456,-0.5114,-0.2352,0.0430,-0.1705,0.2338,0.0049
$\sigma_{2}$ [kg/J],0.2140,0.2690,-0.1608,0.5056,-0.2122,-0.2549,0.7850,0.1608,0.3746,-0.6344,-0.5294,1.0000,-0.6305,-0.0215,0.7881,-0.0575,-0.0799,0.1750,-0.0207,0.0129
$\log_{10}$($\eta_{2}$ [kg/J]),-0.0521,0.1344,0.0161,-0.1803,0.6845,-0.0356,-0.4325,0.3105,0.0707,0.1729,0.3454,-0.6305,1.0000,0.2046,-0.3970,0.4138,0.2867,-0.3992,-0.0485,-0.0438
