,$v_0$ [m/s],$m_0$ [kg],$\rho$ [kg/m$^3$],$\sigma$ [kg/J],$h_e$ [m],$\log_{10}$($\eta$ [kg/J]),$s$,$\log_{10}$($m_{l}$ [kg]),$\log_{10}$($m_{u}$ [kg]),$\log_{10}$($P_{compress}$ [Pa]),$s$,$\log_{10}$($m_{min}/m_{disr}$),$\log_{10}$($m_{max}/m_{disr}$),$m_{gr}/m_{disr}$,$\sigma_{lag}$ [m],$\sigma_{lum}$ [W]
$v_0$ [m/s],1.0000,-0.0753,0.1036,0.0512,0.1207,0.0165,0.0169,-0.0518,-0.0469,0.0169,0.0249,-0.0089,-0.0420,0.0572,-0.0281,0.0022
$m_0$ [kg],-0.0753,1.0000,-0.3434,-0.0845,0.0825,-0.1907,0.0668,0.2626,0.2540,-0.0145,-0.0973,-0.1057,-0.2685,-0.4691,0.0724,-0.0325
$\rho$ [kg/m$^3$],0.1036,-0.3434,1.0000,0.0813,-0.1659,0.0410,0.1040,0.0615,0.0708,-0.1391,0.0539,-0.1510,-0.3238,-0.0345,0.0013,0.0532
$\sigma$ [kg/J],0.0512,-0.0845,0.0813,1.0000,0.1267,0.0356,0.0113,0.1110,0.1107,0.0426,-0.0869,-0.1622,-0.1415,-0.4426,0.0998,-0.0472
$h_e$ [m],0.1207,0.0825,-0.1659,0.1267,1.0000,-0.0286,-0.0331,0.1275,0.1259,-0.0081,-0.0455,-0.1064,0.0392,-0.0047,0.0702,-0.0509
$\log_{10}$($\eta$ [kg/J]),0.0165,-0.1907,0.0410,0.0356,-0.0286,1.0000,0.0242,-0.0596,-0.0568,-0.0206,0.1144,0.0283,0.0130,0.0559,0.0381,0.0068
$s$,0.0169,0.0668,0.1040,0.0113,-0.0331,0.0242,1.0000,-0.0611,-0.0624,-0.1667,0.0166,0.0635,-0.1472,-0.0636,0.0372,0.0116
$\log_{10}$($m_{l}$ [kg]),-0.0518,0.2626,0.0615,0.1110,0.1275,-0.0596,-0.0611,1.0000,0.9956,0.0944,0.0022,0.0327,0.0101,-0.1537,0.0348,-0.0359
$\log_{10}$($m_{u}$ [kg]),-0.0469,0.2540,0.0708,0.1107,0.1259,-0.0568,-0.0624,0.9956,1.0000,0.0926,0.0085,0.0370,0.0141,-0.1469,0.0305,-0.0269
$\log_{10}$($P_{compress}$ [Pa]),0.0169,-0.0145,-0.1391,0.0426,-0.0081,-0.0206,-0.1667,0.0944,0.0926,1.0000,-0.0028,-0.0747,0.0551,-0.0598,-0.0144,-0.0977
$s$,0.0249,-0.0973,0.0539,-0.0869,-0.0455,0.1144,0.0166,0.0022,0.0085,-0.0028,1.0000,0.0537,-0.0575,0.1314,-0.0439,0.0027
$\log_{10}$($m_{min}/m_{disr}$),-0.0089,-0.1057,-0.1510,-0.1622,-0.1064,0.0283,0.0635,0.0327,0.0370,-0.0747,0.0537,1.0000,0.4505,0.0882,-0.0379,0.0388
$\log_{10}$($m_{max}/m_{disr}$),-0.0420,-0.2685,-0.3238,-0.1415,0.0392,0.0130,-0.1472,0.0101,0.0141,0.0551,-0.0575,0.4505,1.0000,0.2057,-0.0480,-0.0250
$m_{gr}/m_{disr}$,0.0572,-0.4691,-0.0345,-0.4426,-0.0047,0.0559,-0.0636,-0.1537,-0.1469,-0.0598,0.1314,0.0882,0.2057,1.0000,-0.1236,0.0258
$\sigma_{lag}$ [m],-0.0281,0.0724,0.0013,0.0998,0.0702,0.0381,0.0372,0.0348,0.0305,-0.0144,-0.0439,-0.0379,-0.0480,-0.1236,1.0000,-0.0296
$\sigma_{lum}$ [W],0.0022,-0.0325,0.0532,-0.0472,-0.0509,0.0068,0.0116,-0.0359,-0.0269,-0.0977,0.0027,0.0388,-0.0250,0.0258,-0.0296,1.0000
