,$v_0$ [m/s],$m_0$ [kg],$\rho$ [kg/m$^3$],$\sigma$ [kg/J],$h_e$ [m],$\log_{10}$($\eta$ [kg/J]),$s$,$\log_{10}$($m_{l}$ [kg]),$\log_{10}$($m_{u}$ [kg]),$\log_{10}$($P_{compress}$ [Pa]),$s$,$\log_{10}$($m_{min}/m_{disr}$),$\log_{10}$($m_{max}/m_{disr}$),$m_{gr}/m_{disr}$,$\sigma_{lag}$ [m],$\sigma_{lum}$ [W]
$v_0$ [m/s],1.0000,0.1063,-0.0025,-0.1781,0.1333,0.0905,0.1348,0.0455,0.0311,0.0330,0.1207,-0.0082,-0.0361,0.1786,0.0009,-0.0187
$m_0$ [kg],0.1063,1.0000,-0.4247,-0.6423,0.3374,0.2492,0.2624,-0.1448,-0.1681,-0.2893,0.3185,-0.3438,-0.4398,-0.0394,-0.0750,-0.0588
$\rho$ [kg/m$^3$],-0.0025,-0.4247,1.0000,0.1825,-0.1986,-0.0119,-0.1208,0.1738,0.1842,0.0640,-0.1030,0.1432,-0.0653,0.1080,0.0038,0.0123
$\sigma$ [kg/J],-0.1781,-0.6423,0.1825,1.0000,-0.1918,-0.1660,-0.0966,0.0977,0.1104,0.1633,-0.3526,0.2106,0.2362,-0.2746,0.0606,0.0781
$h_e$ [m],0.1333,0.3374,-0.1986,-0.1918,1.0000,0.0853,0.1091,-0.1121,-0.1142,-0.1230,0.1831,-0.1575,-0.3404,0.0037,-0.0766,-0.0424
$\log_{10}$($\eta$ [kg/J]),0.0905,0.2492,-0.0119,-0.1660,0.0853,1.0000,-0.0390,-0.0309,-0.0390,-0.0789,0.2179,-0.1145,-0.2058,-0.0656,0.0406,-0.0608
$s$,0.1348,0.2624,-0.1208,-0.0966,0.1091,-0.0390,1.0000,-0.0375,-0.0524,-0.1892,-0.1194,-0.0562,-0.0681,-0.0083,-0.0429,-0.0150
$\log_{10}$($m_{l}$ [kg]),0.0455,-0.1448,0.1738,0.0977,-0.1121,-0.0309,-0.0375,1.0000,0.9955,-0.0567,-0.0598,0.2051,0.1833,0.2163,-0.0255,0.0620
$\log_{10}$($m_{u}$ [kg]),0.0311,-0.1681,0.1842,0.1104,-0.1142,-0.0390,-0.0524,0.9955,1.0000,-0.0493,-0.0800,0.2104,0.1900,0.2245,-0.0297,0.0620
$\log_{10}$($P_{compress}$ [Pa]),0.0330,-0.2893,0.0640,0.1633,-0.1230,-0.0789,-0.1892,-0.0567,-0.0493,1.0000,-0.1538,0.2445,0.2186,0.0656,0.0598,0.0224
$s$,0.1207,0.3185,-0.1030,-0.3526,0.1831,0.2179,-0.1194,-0.0598,-0.0800,-0.1538,1.0000,-0.2688,-0.2175,0.0808,0.0175,-0.0447
$\log_{10}$($m_{min}/m_{disr}$),-0.0082,-0.3438,0.1432,0.2106,-0.1575,-0.1145,-0.0562,0.2051,0.2104,0.2445,-0.2688,1.0000,0.5292,0.2493,-0.0317,0.0472
$\log_{10}$($m_{max}/m_{disr}$),-0.0361,-0.4398,-0.0653,0.2362,-0.3404,-0.2058,-0.0681,0.1833,0.1900,0.2186,-0.2175,0.5292,1.0000,0.1165,0.0004,0.0480
$m_{gr}/m_{disr}$,0.1786,-0.0394,0.1080,-0.2746,0.0037,-0.0656,-0.0083,0.2163,0.2245,0.0656,0.0808,0.2493,0.1165,1.0000,-0.1280,-0.0003
$\sigma_{lag}$ [m],0.0009,-0.0750,0.0038,0.0606,-0.0766,0.0406,-0.0429,-0.0255,-0.0297,0.0598,0.0175,-0.0317,0.0004,-0.1280,1.0000,-0.0050
$\sigma_{lum}$ [W],-0.0187,-0.0588,0.0123,0.0781,-0.0424,-0.0608,-0.0150,0.0620,0.0620,0.0224,-0.0447,0.0472,0.0480,-0.0003,-0.0050,1.0000
