,$v_0$ [m/s],$m_0$ [kg],$\rho$ [kg/m$^3$],$\sigma$ [kg/J],$h_e$ [m],$\log_{10}$($\eta$ [kg/J]),$s$,$\log_{10}$($m_{l}$ [kg]),$\log_{10}$($m_{u}$ [kg]),$h_{e2}$ [m],$\rho_{2}$ [kg/m$^3$],$\sigma_{2}$ [kg/J],$\log_{10}$($\eta_{2}$ [kg/J]),$\sigma_{lag}$ [m],$\sigma_{lum}$ [W]
$v_0$ [m/s],1.0000,-0.1196,-0.3993,-0.0027,-0.2931,-0.3874,0.1283,0.0121,0.1268,-0.1233,-0.4342,-0.2500,-0.1138,-0.3460,-0.0266
$m_0$ [kg],-0.1196,1.0000,0.4205,0.1010,-0.2207,-0.4037,0.0213,0.1069,-0.0646,0.4092,0.0449,-0.1594,-0.3686,0.0993,0.1661
$\rho$ [kg/m$^3$],-0.3993,0.4205,1.0000,0.2465,0.2032,0.5075,-0.2979,-0.0293,-0.0418,-0.0756,0.4682,0.2351,0.0397,0.2969,-0.1335
$\sigma$ [kg/J],-0.0027,0.1010,0.2465,1.0000,-0.2322,0.1326,-0.3733,0.7302,0.3167,-0.0250,-0.1280,0.3429,0.2631,0.1897,0.2844
$h_e$ [m],-0.2931,-0.2207,0.2032,-0.2322,1.0000,0.2952,-0.0680,-0.2594,-0.2541,-0.1788,0.3212,0.2144,0.0407,0.0511,-0.1516
$\log_{10}$($\eta$ [kg/J]),-0.3874,-0.4037,0.5075,0.1326,0.2952,1.0000,-0.3539,-0.1032,0.1483,-0.2588,0.3891,0.2535,0.2640,0.1880,-0.2257
$s$,0.1283,0.0213,-0.2979,-0.3733,-0.0680,-0.3539,1.0000,0.1735,-0.1029,0.1314,-0.2056,-0.0369,-0.0746,-0.1415,-0.0591
$\log_{10}$($m_{l}$ [kg]),0.0121,0.1069,-0.0293,0.7302,-0.2594,-0.1032,0.1735,1.0000,0.1788,0.3839,-0.2555,0.3267,0.1889,0.2114,0.2739
$\log_{10}$($m_{u}$ [kg]),0.1268,-0.0646,-0.0418,0.3167,-0.2541,0.1483,-0.1029,0.1788,1.0000,0.0295,-0.2241,-0.1806,-0.2456,-0.1662,0.0296
$h_{e2}$ [m],-0.1233,0.4092,-0.0756,-0.0250,-0.1788,-0.2588,0.1314,0.3839,0.0295,1.0000,-0.1593,-0.0406,-0.1885,0.1181,0.1480
$\rho_{2}$ [kg/m$^3$],-0.4342,0.0449,0.4682,-0.1280,0.3212,0.3891,-0.2056,-0.2555,-0.2241,-0.1593,1.0000,0.0994,0.1582,0.2982,-0.2413
$\sigma_{2}$ [kg/J],-0.2500,-0.1594,0.2351,0.3429,0.2144,0.2535,-0.0369,0.3267,-0.1806,-0.0406,0.0994,1.0000,0.4618,0.2727,0.2763
$\log_{10}$($\eta_{2}$ [kg/J]),-0.1138,-0.3686,0.0397,0.2631,0.0407,0.2640,-0.0746,0.1889,-0.2456,-0.1885,0.1582,0.4618,1.0000,0.1348,0.1530
$\sigma_{lag}$ [m],-0.3460,0.0993,0.2969,0.1897,0.0511,0.1880,-0.1415,0.2114,-0.1662,0.1181,0.2982,0.2727,0.1348,1.0000,-0.0031
$\sigma_{lum}$ [W],-0.0266,0.1661,-0.1335,0.2844,-0.1516,-0.2257,-0.0591,0.2739,0.0296,0.1480,-0.2413,0.2763,0.1530,-0.0031,1.0000
